N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
106,CJ대한통운,"135,500","1,500",+1.12%,"5,000","30,911","22,812",20.20,"68,140",104.96,3.89,
107,한화시스템,"16,300",450,+2.84%,"5,000","30,794","188,919",2.61,"500,799",25.87,6.04,
108,BGF리테일,"177,500","2,500",+1.43%,"1,000","30,679","17,284",30.90,"41,023",20.78,19.61,
109,현대미포조선,"76,700","1,100",-1.41%,"5,000","30,636","39,942",11.03,"280,078",-19.18,-7.11,
110,GS리테일,"28,400",500,+1.79%,"1,000","29,740","104,718",7.40,"250,821",2.87,7.50,
111,대우건설,"7,130",80,+1.13%,"5,000","29,634","415,623",10.71,"2,431,797",6.06,11.06,
112,KCC,"325,000","2,000",-0.61%,"5,000","28,881","8,886",11.00,"54,272",4.10,12.79,
113,동서,"26,950",250,+0.94%,500,"26,869","99,700",2.90,"57,604",23.70,8.05,
114,씨에스윈드,"63,700","2,300",+3.75%,500,"26,863","42,171",10.86,"397,261",57.80,8.19,
115,OCI,"112,500","4,000",+3.69%,"5,000","26,831","23,849",14.34,"277,102",4.14,23.93,
116,두산퓨얼셀,"40,700",700,+1.75%,100,"26,656","65,494",14.59,"308,773",814.00,4.18,
117,포스코인터내셔널,"21,450",550,+2.63%,"5,000","26,464","123,375",6.55,"582,670",7.34,10.86,
118,제일기획,"22,950",850,+3.85%,200,"26,402","115,041",31.44,"516,153",15.96,15.58,
119,롯데쇼핑,"93,200",300,-0.32%,"5,000","26,365","28,289",11.04,"142,632",-9.02,-2.94,
120,대우조선해양,"24,550",900,+3.81%,"5,000","26,340","107,291",4.54,"484,208",-1.55,-55.86,
121,하이트진로,"37,500",250,+0.67%,"5,000","26,300","70,134",6.70,"621,599",51.09,8.23,
122,현대해상,"29,350",650,+2.26%,500,"26,239","89,400",26.86,"365,125",6.86,7.13,
123,에스원,"68,700","1,300",+1.93%,500,"26,105","37,999",53.08,"56,413",20.24,9.13,
124,한화에어로스페이스,"51,400",800,+1.58%,"5,000","26,024","50,630",19.89,"703,947",9.33,4.78,
125,키움증권,"98,900","1,200",+1.23%,"5,000","25,931","26,220",25.44,"44,641",2.84,27.63,
126,한화생명,"2,960",15,+0.51%,"5,000","25,708","868,530",7.72,"2,447,900",3.36,1.90,
127,신세계,"260,000","3,000",-1.14%,"5,000","25,597","9,845",25.06,"43,338",8.34,8.54,
128,한솔케미칼,"225,500","13,500",+6.37%,"5,000","25,561","11,335",40.44,"126,543",17.23,23.88,
129,BNK금융지주,"7,760",60,+0.78%,"5,000","25,293","325,935",39.97,"1,988,989",3.10,6.11,
130,DL이앤씨,"128,000",500,-0.39%,"5,000","24,779","19,359",22.78,"132,237",N/A,N/A,
131,CJ,"81,700",700,+0.86%,"5,000","23,838","29,177",17.44,"55,973",70.80,1.89,
132,녹십자,"200,500","2,500",+1.26%,"5,000","23,432","11,687",22.66,"46,912",27.16,7.48,
133,한화,"30,400",100,+0.33%,"5,000","22,787","74,959",15.86,"180,013",5.14,4.79,
134,KODEX 레버리지,"19,960",100,+0.50%,0,"22,235","111,400",2.38,"19,634,025",N/A,N/A,
135,효성첨단소재,"496,000","3,500",-0.70%,"5,000","22,221","4,480",7.73,"24,086",8.86,54.69,
136,신풍제약,"40,850","1,000",+2.51%,500,"21,644","52,985",5.03,"2,082,346","6,808.33",1.72,
137,현대로템,"19,750",350,+1.80%,"5,000","21,556","109,142",3.91,"414,654",32.43,5.01,
138,SK케미칼,"120,000","1,500",+1.27%,"5,000","21,145","17,621",18.16,"86,240",57.20,30.49,
139,한샘,"88,900",0,0.00%,"1,000","20,922","23,534",15.37,"63,298",37.40,9.10,
140,만도,"43,650",750,-1.69%,"1,000","20,497","46,957",19.51,"383,720",9.20,0.37,
141,효성티앤씨,"473,000","9,000",-1.87%,"5,000","20,470","4,328",12.04,"48,707",2.66,76.22,
142,휠라홀딩스,"33,600",150,-0.44%,"1,000","20,413","60,752",41.54,"281,147",8.68,10.94,
143,대웅제약,"175,000",500,+0.29%,"2,500","20,276","11,587",7.60,"28,697",82.24,4.39,
